"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.927311210E-1,-4.785645287E-3,4.785645381E-2,9.789037704E0,9.789155853E0
6.949267390E-1,-4.785645287E-3,6.221338734E-2,9.784252167E0,9.784451128E0
6.971228450E-1,-4.785645287E-3,5.324030295E-2,9.803394318E0,9.803540053E0
6.993186760E-1,0.000000000E0,4.307080805E-2,9.779465675E0,9.779560521E0
7.015148540E-1,-9.571290575E-3,4.366901144E-2,9.798608780E0,9.798710763E0
7.037122210E-1,-9.571290575E-3,3.888336942E-2,9.798608780E0,9.798690604E0
7.059077980E-1,0.000000000E0,3.828516230E-2,9.793823242E0,9.793898072E0
7.080960810E-1,-4.785645287E-3,4.785645381E-2,9.793823242E0,9.793941333E0
7.102733480E-1,-4.785645287E-3,3.349951655E-2,9.784252167E0,9.784310685E0
7.124942650E-1,-1.435693540E-2,4.307080805E-2,9.793823242E0,9.793928472E0
7.146933820E-1,-1.435693540E-2,5.264209956E-2,9.769894600E0,9.770046970E0
7.169061400E-1,0.000000000E0,4.307080805E-2,9.779465675E0,9.779560521E0
7.190759090E-1,0.000000000E0,4.307080805E-2,9.774680138E0,9.774775030E0
7.212549150E-1,4.785645287E-3,3.349951655E-2,9.798608780E0,9.798667213E0
7.234711220E-1,4.785645287E-3,3.828516230E-2,9.789037704E0,9.789113741E0
7.256696490E-1,0.000000000E0,4.307080805E-2,9.769894600E0,9.769989539E0
7.278654400E-1,-9.571290575E-3,4.307080805E-2,9.769894600E0,9.769994227E0
