"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.524535980E-1,2.335993195E1,4.777270317E0,1.674975902E-1,2.384400947E1
6.546441790E-1,2.291486549E1,4.112663746E0,-1.495514158E-2,2.328100701E1
6.568443850E-1,2.243630219E1,3.442673683E0,-1.878365725E-1,2.269966829E1
6.590442550E-1,2.191466713E1,2.787638426E0,-4.043870270E-1,2.209495626E1
6.612100470E-1,2.135474586E1,2.155933142E0,-6.454638839E-1,2.147300264E1
6.634277490E-1,2.077089691E1,1.510469317E0,-9.056833982E-1,2.084542968E1
6.656201930E-1,2.015893173E1,8.931210637E-1,-1.175474167E0,2.021291501E1
6.678256790E-1,1.954158401E1,2.859423161E-1,-1.440479279E0,1.959668976E1
6.700099230E-1,1.891047668E1,-2.644068897E-1,-1.667797327E0,1.898572062E1
6.721873520E-1,1.826920128E1,-8.285148144E-1,-1.929213285E0,1.838945394E1
6.744108820E-1,1.761895180E1,-1.378265858E0,-2.146960020E0,1.780271093E1
6.765994710E-1,1.699263000E1,-1.899901152E0,-2.374278307E0,1.726256923E1
6.787810910E-1,1.637109375E1,-2.397608280E0,-2.678166628E0,1.676108029E1
6.809958540E-1,1.575853157E1,-2.904288530E0,-2.948555708E0,1.629294909E1
6.831919810E-1,1.514178181E1,-3.378067255E0,-3.248256683E0,1.585042795E1
6.853889610E-1,1.450588894E1,-3.851846218E0,-3.513859987E0,1.541443302E1
6.875608050E-1,1.388435364E1,-4.306482315E0,-3.775275946E0,1.501911363E1
6.897789750E-1,1.324367523E1,-4.717449665E0,-3.979264021E0,1.461108508E1
6.919645130E-1,1.257906818E1,-5.109274387E0,-4.150351048E0,1.419729041E1
6.941543530E-1,1.192403316E1,-5.477170944E0,-4.277768612E0,1.380149531E1
6.963683510E-1,1.126899815E1,-5.787041664E0,-4.392025948E0,1.340783586E1
6.985662380E-1,1.062353420E1,-6.058627129E0,-4.433900356E0,1.300868610E1
7.007666470E-1,1.001635551E1,-6.272784710E0,-4.470989227E0,1.263585970E1
7.029576870E-1,9.394820213E0,-6.458228111E0,-4.503890514E0,1.225791120E1
7.051573530E-1,8.825926781E0,-6.591030121E0,-4.517050743E0,1.190556210E1
7.073490650E-1,8.276175499E0,-6.695715904E0,-4.554139614E0,1.157876850E1
7.095464320E-1,7.735995770E0,-6.751947403E0,-4.548755646E0,1.123056553E1
7.117407980E-1,7.238886833E0,-6.789036274E0,-4.528416634E0,1.090866872E1
7.139368840E-1,6.789634228E0,-6.816553593E0,-4.497908592E0,1.062053283E1
7.161322270E-1,6.349953175E0,-6.811169624E0,-4.467998028E0,1.032845310E1
7.183285370E-1,5.938985825E0,-6.781259537E0,-4.389633179E0,1.002626117E1
7.205245710E-1,5.580660820E0,-6.751348972E0,-4.311268330E0,9.762762045E0
7.227207890E-1,5.227120876E0,-6.687939167E0,-4.232903481E0,9.485188181E0
7.249106900E-1,4.921437740E0,-6.601199627E0,-4.153940201E0,9.222342714E0
7.270891560E-1,4.648656368E0,-6.528218269E0,-4.051048756E0,8.979901771E0
7.293150990E-1,4.386044025E0,-6.441478729E0,-3.967299938E0,8.744684054E0
7.315297390E-1,4.152145386E0,-6.311069489E0,-3.893122435E0,8.498606455E0
