"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.653434740E-1,1.156271744E1,-6.230311871E0,-9.511470050E-2,1.313477321E1
5.675228870E-1,1.138086224E1,-6.263811588E0,-1.680957973E-1,1.299182886E1
5.697184840E-1,1.125224876E1,-6.282954216E0,-2.027917206E-1,1.288913265E1
5.719107550E-1,1.114696407E1,-6.306882381E0,-2.560320199E-1,1.281004004E1
5.741111540E-1,1.104646587E1,-6.345167637E0,-2.901297510E-1,1.274243838E1
5.763020620E-1,1.095075321E1,-6.373881340E0,-3.337987661E-1,1.267504560E1
5.784784320E-1,1.086939716E1,-6.426523209E0,-3.631108403E-1,1.263233331E1
5.807008850E-1,1.083649540E1,-6.451049805E0,-4.348955154E-1,1.261882761E1
5.828900640E-1,1.080299568E1,-6.503692150E0,-4.779663086E-1,1.261868373E1
5.850737280E-1,1.079821014E1,-6.541976929E0,-5.306084156E-1,1.263646904E1
5.872876170E-1,1.077428246E1,-6.604190350E0,-5.449653864E-1,1.264901102E1
5.894839160E-1,1.073599720E1,-6.652047157E0,-5.210371017E-1,1.264052400E1
5.916878450E-1,1.064507008E1,-6.680162430E0,-4.881358147E-1,1.257697752E1
5.938774700E-1,1.055892849E1,-6.703492641E0,-4.408775866E-1,1.251487745E1
5.960746140E-1,1.045364380E1,-6.708278179E0,-4.031906128E-1,1.242747873E1
5.982786760E-1,1.033878803E1,-6.707680225E0,-3.846462369E-1,1.233010400E1
6.004649140E-1,1.023350430E1,-6.678966045E0,-3.427718580E-1,1.222500266E1
6.026615390E-1,1.013838959E1,-6.654439926E0,-3.290131092E-1,1.213164308E1
6.048550410E-1,1.005703354E1,-6.625725746E0,-3.158525825E-1,1.204756939E1
6.070535880E-1,9.961320877E0,-6.577869415E0,-3.403790295E-1,1.194203239E1
6.092440370E-1,9.904491425E0,-6.530013084E0,-3.314059377E-1,1.186801800E1
6.114232670E-1,9.842277527E0,-6.476772785E0,-3.176472187E-1,1.178642916E1
6.136421600E-1,9.780064583E0,-6.414559364E0,-3.284149170E-1,1.170060218E1
6.158330470E-1,9.765707016E0,-6.376274109E0,-3.140579760E-1,1.166724207E1
6.180158270E-1,9.703494072E0,-6.318846226E0,-3.098705411E-1,1.158367967E1
